ax,ay,az,gx,gy,gz
-0.25379312,9.787795067,-0.780533612,-0.048877157,0.005513059,0.002271197
-0.239427477,9.821314812,-0.749408007,-0.054374948,0.013454307,0.003492928
-0.186753437,9.845257759,-0.660819829,-0.055596679,0.018952096,0.001049467
-0.119713739,9.862017632,-0.591385901,-0.045822833,0.016508633,0.001049467
-0.112530917,9.85483551,-0.553077459,-0.038492452,0.01039998,0.000438601
-0.134079397,9.828497887,-0.545894682,-0.028107742,0.003069598,0.001660332
-0.186753437,9.821314812,-0.553077459,-0.025664281,0.006123924,0.003492928
-0.227456108,9.775823593,-0.586597323,-0.031772934,0.004291329,0.004103793
-0.263370216,9.744698524,-0.591385901,-0.034827258,1.53E-05,0.007158119
-0.244216025,9.723150253,-0.610540092,-0.037881587,0.006123924,0.007158119
-0.167599231,9.708784103,-0.641665638,-0.034827258,0.011621712,0.005936388
-0.150839314,9.699207306,-0.715888143,-0.022609955,0.007345655,0.004103793
-0.119713739,9.701601982,-0.818841994,-0.003673133,0.005513059,0.000438601
-0.134079397,9.720755577,-0.893064499,0.009765903,0.003680463,-0.002615725
-0.160416409,9.69681263,-0.921795785,0.014652824,0.003069598,-0.008724377
-0.150839314,9.687235832,-0.919401527,0.010376768,-0.003039055,-0.006891782
-0.189147711,9.67047596,-0.861938953,0.000602924,1.53E-05,-0.007502647
-0.208301902,9.62977314,-0.701522529,-0.020166494,0.001847867,-0.009335242
-0.150839314,9.648927689,-0.59378016,-0.029940339,0.01956296,-0.013000434
-0.057462595,9.713572502,-0.634482801,-0.029329473,0.013454307,-0.007502647
-0.052674048,9.768641472,-0.792504966,-0.018944763,-0.00364992,-0.00200486
-0.088588171,9.725543976,-0.833207607,-0.009170921,-0.009147707,0.004714658
-0.124502286,9.744698524,-0.804476321,-0.007338324,-0.012202033,0.004103793
-0.079011068,9.794978142,-0.694339693,-0.014668707,-0.009758573,0.004103793
-0.079011068,9.811738014,-0.562654555,-0.02444255,-0.015256359,-0.000783129
-0.117319465,9.778218269,-0.514769077,-0.034827258,-0.007315111,-0.003837456
-0.160416409,9.739910126,-0.565048873,-0.037881587,-0.003039055,-0.004448321
-0.143656492,9.747093201,-0.577020228,-0.029940339,0.006123924,-0.002615725
-0.083799616,9.785401344,-0.656031311,-0.009781785,-0.003039055,-0.001393994
-0.071828246,9.763853073,-0.706311047,0.001213789,-0.00364992,-0.000783129
-0.081405342,9.771035194,-0.758985102,0.009155038,-0.001206459,0.001049467
-0.102953814,9.749486923,-0.814053416,0.005489846,-0.000595594,0.004714658
-0.119713739,9.747093201,-0.842784762,-0.003673133,0.001847867,0.002271197
-0.112530917,9.747093201,-0.799687803,-0.012225246,-0.001206459,0.002882062
-0.117319465,9.747093201,-0.670396924,-1.47E-02,-0.008536842,0.002271197
-0.134079397,9.790189743,-0.569837391,-0.012225246,-0.017699819,0.010823311
-0.141262218,9.845257759,-0.524346173,-0.006727459,-0.022586742,0.016931962
-0.150839314,9.876383781,-0.565048873,-7.94E-06,-0.028695395,0.027316671
